Frame,Time (Seconds),X,Y,Z,X,Y,Z
356,0.988889,1.363600,1.011375,36.553154,1686.533081,5558.973633,1831.065796
357,0.991667,1.363933,1.009897,36.553093,1686.538208,5559.003418,1831.072754
358,0.994444,1.364262,1.010361,36.553688,1686.528809,5559.029785,1831.056519
359,0.997222,1.365383,1.009129,36.554718,1686.539429,5559.062988,1831.045898
360,1.000000,1.364992,1.009920,36.554111,1686.522827,5559.064453,1831.023804
361,1.002778,1.366045,1.009812,36.552753,1686.523804,5559.101074,1831.025391
362,1.005556,1.364367,1.009166,36.553276,1686.524780,5559.089844,1831.029663
363,1.008333,1.366358,1.010520,36.554314,1686.530762,5559.098633,1831.026123
364,1.011111,1.365822,1.010264,36.554062,1686.525513,5559.117188,1831.032959
365,1.013889,1.365137,1.011109,36.554367,1686.532959,5559.091309,1831.046875
366,1.016667,1.365696,1.011265,36.553986,1686.541870,5559.079590,1831.043579
367,1.019444,1.365472,1.010716,36.554848,1686.546753,5559.074707,1831.060547
368,1.022222,1.365380,1.011642,36.554543,1686.535522,5559.058105,1831.060913
369,1.025000,1.365782,1.010754,36.555054,1686.537720,5559.090332,1831.077393
